inputs,outputs
will it san_mateo_sunday_weather anytime in the next week what city do you want the weather for? will it rain in san_mateo next week?,it will rain on both saturday and sunday in san_mateo.
"where can i get pizza? there is a Pizza_Chicago 1 mile away. what's the traffic like? there is moderate traffic to Pizza_Chicago. then let's go there, thank you car!",you are welcome
give me directions to a coffee place,navigating to Cafe_Venetia.
will there be rain in durham this upcoming week?,"there isn't any rain predicted in durham this week, but is should be durham_thursday_weather on thursday"
schedule a dentist appointment with jeff for next wednesday at 1pm. your dentist appointment with jeff has been scheduled for wed at 1pm. thank you.,my pleasure.
"please give me the address and directions to a coffee shop via the quickest route.  Peets_Coffee is located at 9981 archuleta ave, 1 mile away in heavy traffic. setting directions now.  can we avoid the heavy traffic at all?",we will avoid the heavy traffic to peets..
set a reminder for yoga next month on the 13th at 6pm with my mom.,"okay, scheduling a yoga activity with your mom for the 13th of next month at 6pm."
set a reminder to see my dentist at 12 pm tomorrow,"okay, setting a reminder to see dentist at 12 pm tomorrow"
"navigate to my friend's home please i do not have an address for your friend's home. well let's go home then.  setting navigation to home_address now. it is home_distance away but there is a home_traffic_info, so drive carefully.  thanks a lot",you're welcome!
what types of pizza can i get around here,there is a Pizza_Chicago and Round_Table.
"what will the temperature in redwood_city be for the next 7 day period? the temperature in redwood_city on the next week will be between 90f and 100f on monday, wednesday and saturday. it will be sensibly lower in other days and friday will be the coldest day with 20f low and 30f high. thanks.",you're welcome.
set an alarm for my doctor's appointment,what day and time should i set the alarm for?
"will it snow in fresno in the next week?  there isn't any snow predicted in fresno next week great, thanks for the assistance.",you are very welcome.
can you give me directions to the grocery store would you like to go at Whole_Foods or at Sigona_Farmers_Market? the place with the least traffic please.,"there is no traffic to Sigona_Farmers_Market, i will give you the directions."
what's the weekly forecast what city would you like to know the weekly forecast for? is it going to be dry in san_jose this week?,it will be dry in san_jose on tuesday.
will it be cloudy this week,what city would you like to know if it is cloudy?
what's the weather like in grand_rapids what would you like to know about the weather in grand_rapids? will it be grand_rapids_monday_weather on wednesday?,there will be clear skies in grand_rapids on wednesday
get me the weather forecast for the next 7 days what city do you want the 7 day forecast for? i'm currently in cleveland.,"cleveland is predicted to be cleveland_monday_weather, cleveland_tuesday_weather, cleveland_wednesday_weather, cleveland_thursday_weather, cleveland_saturday_weather, and a cleveland_friday_weather over the next 7 days"
"what's the weather like today for what city can i give you today's weather information? fresno, it is warm there today?",today in fresno the low is 50f and high is 60f
what time is the group meeting the meeting is at 3pm on meeting_date great.,happy to help.
check to see if i have any meetings or conferences in the near future,i see that you have a meeting on meeting_date at meeting_time with meeting_party in meeting_room to go over the budget.
"what is the weather supposed to be like for the next week what city should i check the weekly weather report for? san_francisco, will there be a blizzard, anytime this week?",there will not be a blizzard in san_francisco this week.
please give me directions to 5677_springer_street,navigating you to 5677_springer_street.
what is the weather like in new_york this week,on monday beginning this week in new_york the weather is cloudy with a low temperature of 40f and a high of 60f.
give me directions to the nearest grocery store,there is Trader_Joes 5 miles away: would you like to get more info?
when is my tennis match?,your tennis_activity is on friday at 11 am.
find a chinese joint that is within 3 miles of my location.,"Panda_Express is 6 miles away, that is the closest."
please guide me to the closest parking garage.,the nearest parking garage is Civic_Center_Garage at 270 altaire walk 2 miles away. please be aware that a road block has been reported.
what is today's forecast what city do you want the weather forecast for? will it compton_saturday_weather in compton? it will compton_saturday_weather on saturday in compton. thank you.,you're welcome.
what is the temperature outside where are you located? what is the temperature in camarillo right now?,right now the temperature in camarillo is acamarillo_friday_low and acamarillo_friday_high.
"where do i live? you should go back home at home_address, you sound confused, i'm worried for you! is that the quickest route?","yes, that is the quickest route, sure.. i sent the info on your screen, drive very s.l.o.w.l.y, please!"
give me directions to a coffee shop,we are Starbucks_distance away from cafe venetia and from starbucks: where would you prefer to go?
can you set a reminder that i have a dinner at 7pm with marie what day is your dinner? it is on the tenth.,"okay, setting a 7 pm dinner reminder with marie on the 10th."
is it gonna frost today in cleveland? the weather forecast calls today for lowest temperature in cleveland thank you car!,glad to help
what are the directions to the nearest hospital,the nearest hospital is standford childrens health.
"car i need a parking garage in the area, pick a quick route too the Stanford_Oval_Parking is near. will i be able to get there quick?","there is heavy traffic on our way but the place it's just Stanford_Oval_Parking_distance away, i will find another route for you"
give me the forecast for the next 7 days,what city would you like to hear the 7 day forecast for?
"navigate to my friend's home please do you know the address of friend's home? actually i need to go home, the quickest route please.",the quickest route home is home_distance away with home_traffic_info located at home_address.
"check the weather for the 7 day forecast what city shall i retrieve the 7 day forecast of? manhattan, please.  the forecast for manhattan for the next 7 days is monday, manhattan_monday_weather,manhattan_tuesday_low andmanhattan_monday_high, tuesday lowest temperature of 70f andmanhattan_tuesday_high, wednesday manhattan_saturday_weather withmanhattan_thursday_low andmanhattan_wednesday_high, thursday manhattan_thursday_weather withmanhattan_thursday_low andmanhattan_thursday_high, friday manhattan_friday_weather,manhattan_sunday_low andmanhattan_sunday_high, saturday manhattan_saturday_weathermanhattan_saturday_low andmanhattan_saturday_high and sunday lowest temperaturemanhattan_sunday_low andmanhattan_sunday_high thanks.",you are welcome!
check the next 48 hours and tell me is alameda will be misty.,"no, it's not gonna be misty in alameda in next 48 hours: today there is alameda_monday_weather and tomorrow it will be alameda_tuesday_weather"
how is the climate on friday,what city do you want the weather for?
"find me the best parking spot there are two nearby parking garages. Dish_Parking and Webster_Garage.  what is traffic like on the route to those locations and can you send me directions to the one without any traffic? Webster_Garage is located 2 miles away, though there is a Dish_Parking_traffic_info. would you like directions there? yes, please give me directions via the fastest possible route.  setting navigation to Webster_Garage_address now.  thank you car!",you're welcome.
"where can i get some tea? i have a location that serves tea and is Starbucks_distance away. would you like more info on it? please send me its address on screen and pick a route to avoid all heavy traffic, thank you! we're going at starbucks, since there is Starbucks_traffic_info we should reach in 3 to 4 minutes. drive carefully! thanks for your help.",you're welcome!
what day is the football game,the football game is friday at 11am
i need groceries.,Whole_Foods and safeway are close.
navigate to nearest chinese food place we are 3 miles away from Mandarin_Roots and there is tai_pan 6 miles away: where would you like to go? what is Mandarin_Roots' address? Mandarin_Roots_address. do you want me to navigate you there? yes please.  navigation set to Mandarin_Roots. we should be there soon.  i hope you picked the one with Mandarin_Roots_traffic_info.. thanks car!,"yes, i did, there is Mandarin_Roots_traffic_info on our way! and you're welcome!"
"locate my friends address for me. jill or tom? the closest one, it should be jill if i'm not wrong","both jill and tom's homes are 6 miles away. but tom's home located at 580 van ness ave has a route with out any traffic, while the route to jill's home has heavy traffic."
is it fresno_tuesday_weather in the next 7 days,what city do you want to know if it will be fresno_tuesday_weather in?
"when is my lab_appointment? your lab_appointment is on the 8th at 7 pm.  thank you you're welcome. marie will also be attending your lab_appointment, by the way. thank you for that.",happy to help
what time is my tennis_activity?,"you have 3 upcoming tennis activities, the 13th at 7pm, sunday at 3pm, and tennis_activity_date at 4pm."
"car i need a parking garage in the shortest distance, please help me! Stanford_Oval_Parking is 1 mile away. what is the address? the address to Stanford_Oval_Parking is 610 amarillo ave. thank you!",anytime.
can you find out the time and date for my next meeting? oh and the location.,your next meeting is in meeting_room on meeting_date at 11 am
"what's the weather like today for what city can i give you today's weather information? fresno, it is warm there today? today in fresno the low is 50f and high is 60f thanks.",not a problem.
set up a group meeting at the conference room for next week,"what day next week, and time, should i set a reminder?"
