where's the nearest parking garage,The nearest parking garage is Dish Parking at 550 Alester Ave. Would you like directions there? ,navigate
where's the nearest parking garage <eou> the nearest parking garage is dish parking at 550 alester ave would you like directions there <eou> yes please set directions via a route that avoids all heavy traffic if possible,It looks like there is a road block being reported on the route but I will still find the quickest route to 550 Alester Ave. ,navigate
where's the nearest parking garage <eou> the nearest parking garage is dish parking at 550 alester ave would you like directions there <eou> yes please set directions via a route that avoids all heavy traffic if possible <eou> it looks like there is a road block being reported on the route but i will still find the quickest route to 550 alester ave <eou> thanks so much for your help,You're very welcome!,navigate
where is the nearest gas station,There is a 76 4 miles away.,navigate
where is the nearest gas station <eou> there is a 76 4 miles away <eou> what is the address,The 76 gas station is located at 91 El Camino Real. It is 4 miles away through moderate traffic,navigate
where is the nearest gas station <eou> there is a 76 4 miles away <eou> what is the address <eou> the 76 gas station is located at 91 el camino real it is 4 miles away through moderate traffic <eou> thanks,Anytime!,navigate
show me the closest location where i can get chinese food,"The closest chinese restaurant is PF Changs, located 5 miles away. ",navigate
show me the closest location where i can get chinese food <eou> the closest chinese restaurant is pf changs located 5 miles away <eou> ok please give me an address and directions via a route that avoids all heavy traffic,P.F. Changs route set to 669 El Camino Real with only moderate traffic noted. ,navigate
show me the closest location where i can get chinese food <eou> the closest chinese restaurant is pf changs located 5 miles away <eou> ok please give me an address and directions via a route that avoids all heavy traffic <eou> p f changs route set to 669 el camino real with only moderate traffic noted <eou> thank you,"You're welcome. Drive safely, and enjoy. ",navigate
hi please set up a reminder for my dinner on the 11th at 4pm with my sister thanks,Set! Have a good time,schedule
what time is dinner and who is it with,Dinner is at 7 pm with Jon.,schedule
what time is dinner and who is it with <eou> dinner is at 7 pm with jon <eou> okay perfect thanks,you're welcome,schedule
schedule dentist appointment,when is your dentist appointment,schedule
schedule dentist appointment <eou> when is your dentist appointment <eou> it is on sunday at 2 pm,I have put on your calendar a dentist appointment on Sunday at 2 pm. ,schedule
check forecast for new york,"The weather this week will be hail and rain on Thursday and Sunday, with the lowest temperature being 20F and the highest 90F, Monday will be the only hot day. ",weather
check forecast for new york <eou> the weather this week will be hail and rain on thursday and sunday with the lowest temperature being 20f and the highest 90f monday will be the only hot day <eou> will it be overcast on friday,On Friday it will be cloudy on New York,weather
check forecast for new york <eou> the weather this week will be hail and rain on thursday and sunday with the lowest temperature being 20f and the highest 90f monday will be the only hot day <eou> will it be overcast on friday <eou> on friday it will be cloudy on new york <eou> thank you,You're welcome!,weather
will it be warm in camarillo over the next 2 days,"No, it's not gonna be warm in Camarillo over the next 2 days",weather
will it be warm in camarillo over the next 2 days <eou> no it's not gonna be warm in camarillo over the next 2 days <eou> thank you car,you are very welcome,weather
what's the highest temperature for this week,What location do you want to know the highest temperature?,weather
what's the highest temperature for this week <eou> what location do you want to know the highest temperature <eou> menlo park please,On Friday in Menlo Park it will be a high of 100f.,weather
what's the highest temperature for this week <eou> what location do you want to know the highest temperature <eou> menlo park please <eou> on friday in menlo park it will be a high of 100f <eou> excellent that's very helpful,You are very welcome.,weather
will there be hail in mountain view today,There will be clear skies today in Mountain View.,weather
will there be hail in mountain view today <eou> there will be clear skies today in mountain view <eou> thanks,Anytime.,weather
will the weather be warm in menlo park on sunday,The highest temperature on sunday is 30F in menlo park,weather
will the weather be warm in menlo park on sunday <eou> the highest temperature on sunday is 30f in menlo park <eou> thanks,You are welcome.,weather
what is the weather like today and tomorrow,What city would you like the 2 day forecast for?,weather
what is the weather like today and tomorrow <eou> what city would you like the 2 day forecast for <eou> i need to know if there is a blizzard in redwood city today,There is no blizzard in Redwood City today.,weather
what is the weather like today and tomorrow <eou> what city would you like the 2 day forecast for <eou> i need to know if there is a blizzard in redwood city today <eou> there is no blizzard in redwood city today <eou> thanks,You are welcome.,weather
get me directions to the nearest shopping mall,The nearest shopping mall is Stanford Shopping Center. It's located 3 miles away and there is no traffic to reach it,navigate
get me directions to the nearest shopping mall <eou> the nearest shopping mall is stanford shopping center it's located 3 miles away and there is no traffic to reach it <eou> sounds great thanks,You're welcome!,navigate
remind me that i have a meeting at work on the 12th at 5 pm in conference room 100,"Okay setting a reminder for you work meeting, on the 12th at 5 pm, in conference room 100.",schedule
where are the nearest coffee shops,"The nearby coffee shops are Teavana which is 6 miles away, and Peets coffee which is 3 miles away.",navigate
where are the nearest coffee shops <eou> the nearby coffee shops are teavana which is 6 miles away and peets coffee which is 3 miles away <eou> please give me an address and directions to the peets coffee and take the fastest route available,Peets Coffee is located at 9981 Archuleta Ave. but a car collision is nearby on the route. I will try to find the quickest route possible. ,navigate
where are the nearest coffee shops <eou> the nearby coffee shops are teavana which is 6 miles away and peets coffee which is 3 miles away <eou> please give me an address and directions to the peets coffee and take the fastest route available <eou> peets coffee is located at 9981 archuleta ave but a car collision is nearby on the route i will try to find the quickest route possible <eou> thanks for all the help,You're welcome!,navigate
what is the date of football and who is coming,"You have four football activities scheduled; one on the 5th with John, on the 10th with Marie, one on the 16th with Alex, and one on Monday with father. ",schedule
what is the date of football and who is coming <eou> you have four football activities scheduled one on the 5th with john on the 10th with marie one on the 16th with alex and one on monday with father <eou> thanks,Have a great day.,schedule
will it be stormy in redwood city on wednesday,"No, Wednesday it will be hot in Redwood City",weather
will it be stormy in redwood city on wednesday <eou> no wednesday it will be hot in redwood city <eou> thank you,Anytime.,weather
is it going to snow today,What city should I check for you?,weather
is it going to snow today <eou> what city should i check for you <eou> san mateo please,"Today is gonna be windy in San Mateo, with expected low temperature of 40F, and high of 50F",weather
is it going to snow today <eou> what city should i check for you <eou> san mateo please <eou> today is gonna be windy in san mateo with expected low temperature of 40f and high of 50f <eou> thanks so much,You're welcome. Glad I could be of assistance. ,weather
what day and time is my yoga class,Your yoga activity is on the 3rd at 10 am.,schedule
what day and time is my yoga class <eou> your yoga activity is on the 3rd at 10 am <eou> thank you kindly,You are welcome.,schedule
is the weather cloudy right now,What location do you want the weather for?,weather
is the weather cloudy right now <eou> what location do you want the weather for <eou> alameda,It is not cloudy in Alameda right now.,weather
is the weather cloudy right now <eou> what location do you want the weather for <eou> alameda <eou> it is not cloudy in alameda right now <eou> thanks,You're welcome. Have a great day. ,weather
will the weather be hail in alhambra during the next seven days,There shouldn't be any hail during the next seven days in Alhambra,weather
will the weather be hail in alhambra during the next seven days <eou> there shouldn't be any hail during the next seven days in alhambra <eou> thank you,You're welcome.,weather
schedule a yoga activity with tom on the 8th at 2pm,"Okay, scheduling a yoga activity with Tom for the 8th at 2pm.",schedule
schedule a yoga activity with tom on the 8th at 2pm <eou> okay scheduling a yoga activity with tom for the 8th at 2pm <eou> thanks,My pleasure.,schedule
i need to find the shortest route to the hospital,Sorry it appears the nearest hospital is 8 miles away. Palo Alto Medical Foundation is located at 611 Ames Ave with heavy traffic noted. ,navigate
i need to find the shortest route to the hospital <eou> sorry it appears the nearest hospital is 8 miles away palo alto medical foundation is located at 611 ames ave with heavy traffic noted <eou> can you send me the directions,Palo Alto Medical Foundation is located at 611 Ames Ave,navigate
i need to find the shortest route to the hospital <eou> sorry it appears the nearest hospital is 8 miles away palo alto medical foundation is located at 611 ames ave with heavy traffic noted <eou> can you send me the directions <eou> palo alto medical foundation is located at 611 ames ave <eou> thank you car please pick the route with the shortest distance to reach there,I sent the route on your map. You're welcome!,navigate
give me the closest fast food restaurant,I do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away. Would you like more info on it?,navigate
give me the closest fast food restaurant <eou> i do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away would you like more info on it <eou> sure find the fastest route to a pizza place that is within 3 miles of me,"Pizza Hut is 3 miles away, would you like the address?",navigate
give me the closest fast food restaurant <eou> i do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away would you like more info on it <eou> sure find the fastest route to a pizza place that is within 3 miles of me <eou> pizza hut is 3 miles away would you like the address <eou> yes please,"704 El Camino Real, I've already set the navigator to go there",navigate
give me the closest fast food restaurant <eou> i do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away would you like more info on it <eou> sure find the fastest route to a pizza place that is within 3 miles of me <eou> pizza hut is 3 miles away would you like the address <eou> yes please <eou> 704 el camino real i've already set the navigator to go there <eou> thank you car,You're welcome!,navigate
what is the date of my nextt dentist appointment and who will be attending it,Your next dentist appointment is on the 2nd with sister. ,schedule
what is the date of my nextt dentist appointment and who will be attending it <eou> your next dentist appointment is on the 2nd with sister <eou> thank you,You're welcome. ,schedule
is it going to rain at all this upcoming week,What city shall I check for rain?,weather
is it going to rain at all this upcoming week <eou> what city shall i check for rain <eou> redwood city,Chance of rain on Saturday in Redwood City.,weather
is it going to rain at all this upcoming week <eou> what city shall i check for rain <eou> redwood city <eou> chance of rain on saturday in redwood city <eou> okay thank you,no problem,weather
is there a nearby rest stop,Hotel Keen and The Westin are both nearby.,navigate
is there a nearby rest stop <eou> hotel keen and the westin are both nearby <eou> which has the least amount of traffic at the moment,They both have none.,navigate
is there a nearby rest stop <eou> hotel keen and the westin are both nearby <eou> which has the least amount of traffic at the moment <eou> they both have none <eou> what is the address for keen,"578 Arbol Dr, we're 2 miles away from it. Set the navigation there?",navigate
is there a nearby rest stop <eou> hotel keen and the westin are both nearby <eou> which has the least amount of traffic at the moment <eou> they both have none <eou> what is the address for keen <eou> 578 arbol dr we're 2 miles away from it set the navigation there <eou> yes sounds great,Alright,navigate
give me the address of the nearest shopping center to me with the fastest route to it,Stanford Shopping Center is 2 miles away at 773 Alger Dr.,navigate
give me the address of the nearest shopping center to me with the fastest route to it <eou> stanford shopping center is 2 miles away at 773 alger dr <eou> is there any traffic,There is moderate traffic on the way to Stanford Shopping Center.,navigate
give me the address of the nearest shopping center to me with the fastest route to it <eou> stanford shopping center is 2 miles away at 773 alger dr <eou> is there any traffic <eou> there is moderate traffic on the way to stanford shopping center <eou> then pick the fastest route and let's go there thank you car,I sent on your screen the fastest route to the shopping center. And you're welcome!,navigate
what is the weather like today in tomorrow,What city are you inquiring about?,weather
what is the weather like today in tomorrow <eou> what city are you inquiring about <eou> will it be cloudy in compton today,Compton is not showing a forecast for cloudy skies today.,weather
what is the weather like today in tomorrow <eou> what city are you inquiring about <eou> will it be cloudy in compton today <eou> compton is not showing a forecast for cloudy skies today <eou> ok,You are welcome.,weather
tell me the time of today's meeting,the meeting is at 7pm ,schedule
tell me the time of today's meeting <eou> the meeting is at 7pm <eou> perfect,Anything else?,schedule
find me a gas station that i can get to the quickest without any traffic,"The nearest gas station is located at 91 El Camino Real, but there is a roadblock nearby.",navigate
