,subject,relation,object
0,dish_parking,address,550 alester ave
1,dish_parking,traffic_info,road block nearby
2,dish_parking,distance,2 miles
3,stanford_oval_parking,address,610 amarillo ave
4,stanford_oval_parking,traffic_info,no traffic
5,stanford_oval_parking,distance,6 miles
6,willows_market,address,409 bollard st
7,willows_market,traffic_info,car collision nearby
8,willows_market,distance,4 miles
9,the_westin,address,329 el camino real
10,the_westin,traffic_info,moderate traffic
11,the_westin,distance,2 miles
12,toms_house,address,580 van ness ave
13,toms_house,traffic_info,heavy traffic
14,toms_house,distance,1 miles
15,pizza_chicago,address,915 arbol dr
16,pizza_chicago,traffic_info,heavy traffic
17,pizza_chicago,distance,4 miles
18,valero,address,200 alester ave
19,valero,traffic_info,car collision nearby
20,valero,distance,6 miles
21,mandarin_roots,address,271 springer street
22,mandarin_roots,traffic_info,no traffic
23,mandarin_roots,distance,2 miles
24,town_and_country,address,383 university ave
25,town_and_country,traffic_info,moderate traffic
26,town_and_country,distance,4 miles
27,76,address,91 el camino real
28,76,traffic_info,moderate traffic
29,76,distance,4 miles
30,stanford_shopping_center,address,773 alger dr
31,stanford_shopping_center,traffic_info,moderate traffic
32,stanford_shopping_center,distance,2 miles
33,teavana,address,145 amherst st
34,teavana,traffic_info,moderate traffic
35,teavana,distance,3 miles
36,dominos,address,776 arastradero rd
37,dominos,traffic_info,moderate traffic
38,dominos,distance,4 miles
39,palo_alto_garage_r,address,481 amaranta ave
40,palo_alto_garage_r,traffic_info,road block nearby
41,palo_alto_garage_r,distance,4 miles
42,stanford_express_care,address,214 el camino real
43,stanford_express_care,traffic_info,no traffic
44,stanford_express_care,distance,5 miles
45,palo_alto_medical_foundation,address,611 ames ave
46,palo_alto_medical_foundation,traffic_info,no traffic
47,palo_alto_medical_foundation,distance,3 miles
48,p.f._changs,address,669 el camino real
49,p.f._changs,traffic_info,moderate traffic
50,p.f._changs,distance,5 miles
51,ravenswood_shopping_center,address,434 arastradero rd
52,ravenswood_shopping_center,traffic_info,moderate traffic
53,ravenswood_shopping_center,distance,6 miles
54,chef_chu's,address,593 arrowhead way
55,chef_chu's,traffic_info,heavy traffic
56,chef_chu's,distance,8 miles
58,the_westin,traffic_info,no traffic
59,the_westin,distance,5 miles
61,dish_parking,traffic_info,heavy traffic
63,home,address,5671 barringer street
64,home,traffic_info,no traffic
65,home,distance,1 miles
66,philz,address,583 alester ave
67,philz,traffic_info,heavy traffic
68,philz,distance,4 miles
72,dentist_appointment,time,10am
73,dentist_appointment,room,-
74,dentist_appointment,party,aunt
75,dentist_appointment,agenda,-
76,dentist_appointment,date,the 8th
77,taking_medicine,time,5pm
78,taking_medicine,room,-
79,taking_medicine,party,marie
80,taking_medicine,agenda,-
81,taking_medicine,date,saturday
82,football_activity,time,4pm
83,football_activity,room,-
84,football_activity,party,alex
85,football_activity,agenda,-
86,football_activity,date,monday
87,yoga_activity,time,4pm
88,yoga_activity,room,-
89,yoga_activity,party,marie
90,yoga_activity,agenda,-
91,yoga_activity,date,the 4th
92,lab_appointment,time,5pm
93,lab_appointment,room,-
94,lab_appointment,party,father
95,lab_appointment,agenda,-
96,lab_appointment,date,the 13th
97,dinner,time,7pm
98,dinner,room,-
99,dinner,party,jon
100,dinner,agenda,-
101,dinner,date,the 8th
102,manhattan,monday,"stormy, low of 50f, high of 70f"
103,manhattan,tuesday,"cloudy, low of 20f, high of 40f"
104,manhattan,wednesday,"clear skies, low of 50f, high of 60f"
105,manhattan,thursday,"stormy, low of 50f, high of 70f"
106,manhattan,friday,"windy, low of 20f, high of 40f"
107,manhattan,saturday,"snow, low of 60f, high of 70f"
108,manhattan,sunday,"hail, low of 30f, high of 50f"
109,camarillo,monday,"overcast, low of 50f, high of 70f"
110,camarillo,tuesday,"stormy, low of 90f, high of 100f"
111,camarillo,wednesday,"frost, low of 50f, high of 60f"
112,camarillo,thursday,"snow, low of 80f, high of 90f"
113,camarillo,friday,"clear skies, low of 70f, high of 80f"
114,camarillo,saturday,"blizzard, low of 40f, high of 50f"
115,camarillo,sunday,"dry, low of 70f, high of 80f"
116,menlo_park,monday,"dry, low of 50f, high of 70f"
117,menlo_park,tuesday,"warm, low of 80f, high of 90f"
118,menlo_park,wednesday,"hail, low of 20f, high of 40f"
119,menlo_park,thursday,"blizzard, low of 40f, high of 60f"
120,menlo_park,friday,"cloudy, low of 70f, high of 80f"
121,menlo_park,saturday,"foggy, low of 50f, high of 60f"
122,menlo_park,sunday,"stormy, low of 90f, high of 100f"
123,new_york,monday,"hot, low of 70f, high of 90f"
124,new_york,tuesday,"foggy, low of 70f, high of 90f"
125,new_york,wednesday,"dry, low of 40f, high of 50f"
126,new_york,thursday,"hail, low of 40f, high of 50f"
127,new_york,friday,"cloudy, low of 70f, high of 90f"
128,new_york,saturday,"clear skies, low of 70f, high of 90f"
129,new_york,sunday,"rain, low of 20f, high of 30f"
130,corona,monday,"windy, low of 70f, high of 80f"
131,corona,tuesday,"overcast, low of 40f, high of 50f"
132,corona,wednesday,"hail, low of 90f, high of 100f"
133,corona,thursday,"rain, low of 80f, high of 100f"
134,corona,friday,"hail, low of 60f, high of 70f"
135,corona,saturday,"warm, low of 60f, high of 80f"
136,corona,sunday,"frost, low of 20f, high of 30f"
137,seattle,monday,"cloudy, low of 90f, high of 100f"
138,seattle,tuesday,"dry, low of 30f, high of 40f"
139,seattle,wednesday,"stormy, low of 80f, high of 100f"
140,seattle,thursday,"snow, low of 20f, high of 30f"
141,seattle,friday,"foggy, low of 20f, high of 30f"
142,seattle,saturday,"drizzle, low of 40f, high of 60f"
143,seattle,sunday,"drizzle, low of 50f, high of 60f"
144,grand_rapids,monday,"drizzle, low of 70f, high of 80f"
145,grand_rapids,tuesday,"overcast, low of 40f, high of 60f"
146,grand_rapids,wednesday,"overcast, low of 60f, high of 80f"
147,grand_rapids,thursday,"snow, low of 20f, high of 40f"
148,grand_rapids,friday,"foggy, low of 50f, high of 60f"
149,grand_rapids,saturday,"dry, low of 90f, high of 100f"
150,grand_rapids,sunday,"cloudy, low of 30f, high of 40f"
151,danville,monday,"clear skies, low of 90f, high of 100f"
152,danville,tuesday,"stormy, low of 20f, high of 40f"
153,danville,wednesday,"raining, low of 40f, high of 60f"
154,danville,thursday,"stormy, low of 80f, high of 90f"
155,danville,friday,"misty, low of 40f, high of 50f"
156,danville,saturday,"blizzard, low of 40f, high of 50f"
157,danville,sunday,"frost, low of 30f, high of 50f"
158,camarillo,monday,"drizzle, low of 50f, high of 60f"
159,camarillo,tuesday,"clear skies, low of 30f, high of 40f"
160,camarillo,wednesday,"misty, low of 70f, high of 80f"
161,camarillo,thursday,"overcast, low of 20f, high of 30f"
162,camarillo,friday,"overcast, low of 40f, high of 50f"
163,camarillo,saturday,"raining, low of 40f, high of 50f"
164,camarillo,sunday,"frost, low of 50f, high of 60f"
165,san_jose,monday,"clear skies, low of 60f, high of 70f"
166,san_jose,tuesday,"misty, low of 30f, high of 50f"
167,san_jose,wednesday,"hail, low of 90f, high of 100f"
168,san_jose,thursday,"clear skies, low of 20f, high of 30f"
169,san_jose,friday,"misty, low of 30f, high of 40f"
170,san_jose,saturday,"clear skies, low of 40f, high of 60f"
171,san_jose,sunday,"foggy, low of 90f, high of 100f"
172,los_angeles,monday,"drizzle, low of 60f, high of 70f"
173,los_angeles,tuesday,"warm, low of 60f, high of 70f"
174,los_angeles,wednesday,"clear skies, low of 50f, high of 60f"
175,los_angeles,thursday,"clear skies, low of 90f, high of 100f"
176,los_angeles,friday,"foggy, low of 90f, high of 100f"
177,los_angeles,saturday,"raining, low of 90f, high of 100f"
178,los_angeles,sunday,"cloudy, low of 50f, high of 60f"
179,durham,monday,"clear skies, low of 50f, high of 70f"
180,durham,tuesday,"dew, low of 40f, high of 60f"
181,durham,wednesday,"clear skies, low of 60f, high of 70f"
182,durham,thursday,"drizzle, low of 60f, high of 80f"
183,durham,friday,"humid, low of 50f, high of 70f"
184,durham,saturday,"drizzle, low of 30f, high of 50f"
185,durham,sunday,"misty, low of 50f, high of 60f"
186,san_francisco,monday,"rain, low of 30f, high of 50f"
187,san_francisco,tuesday,"foggy, low of 50f, high of 70f"
188,san_francisco,wednesday,"rain, low of 50f, high of 60f"
189,san_francisco,thursday,"stormy, low of 50f, high of 60f"
190,san_francisco,friday,"hail, low of 90f, high of 100f"
191,san_francisco,saturday,"blizzard, low of 40f, high of 60f"
192,san_francisco,sunday,"hot, low of 80f, high of 90f"
193,boston,monday,"misty, low of 70f, high of 80f"
194,boston,tuesday,"clear skies, low of 80f, high of 90f"
195,boston,wednesday,"snow, low of 90f, high of 100f"
196,boston,thursday,"clear skies, low of 80f, high of 100f"
197,boston,friday,"hail, low of 30f, high of 40f"
198,boston,saturday,"blizzard, low of 20f, high of 30f"
199,boston,sunday,"cloudy, low of 70f, high of 80f"
200,cleveland,monday,"hail, low of 90f, high of 100f"
201,cleveland,tuesday,"foggy, low of 60f, high of 80f"
202,cleveland,wednesday,"raining, low of 80f, high of 90f"
203,cleveland,thursday,"snow, low of 30f, high of 50f"
204,cleveland,friday,"drizzle, low of 60f, high of 70f"
205,cleveland,saturday,"raining, low of 40f, high of 60f"
206,cleveland,sunday,"drizzle, low of 80f, high of 90f"
207,new_york,monday,"rain, low of 60f, high of 80f"
208,new_york,tuesday,"stormy, low of 90f, high of 100f"
209,new_york,wednesday,"windy, low of 50f, high of 70f"
210,new_york,thursday,"windy, low of 70f, high of 80f"
