where's the nearest parking_garage,the nearest parking_garage is dish_parking at 550_alester_ave would you like directions there,navigate
where's the nearest parking_garage <eou> the nearest parking_garage is dish_parking at 550_alester_ave would you like directions there <eou> yes please set directions via a route that avoids all heavy_traffic if possible,it looks like there is a road block being reported on the route but i will still find the quickest route to 550_alester_ave,navigate
where's the nearest parking_garage <eou> the nearest parking_garage is dish_parking at 550_alester_ave would you like directions there <eou> yes please set directions via a route that avoids all heavy_traffic if possible <eou> it looks like there is a road block being reported on the route but i will still find the quickest route to 550_alester_ave <eou> thanks so much for your help,you're very welcome,navigate
where is the nearest gas_station,there is a 76 4_miles away,navigate
where is the nearest gas_station <eou> there is a 76 4_miles away <eou> what is the address,the 76 gas_station is located at 91_el_camino_real it is 4_miles away through moderate_traffic,navigate
where is the nearest gas_station <eou> there is a 76 4_miles away <eou> what is the address <eou> the 76 gas_station is located at 91_el_camino_real it is 4_miles away through moderate_traffic <eou> thanks,anytime,navigate
show me the closest location where i can get chinese food,the closest chinese_restaurant is pf changs located 5_miles away,navigate
show me the closest location where i can get chinese food <eou> the closest chinese_restaurant is pf changs located 5_miles away <eou> ok please give me an address and directions via a route that avoids all heavy_traffic,p.f._changs route set to 669_el_camino_real with only moderate_traffic noted,navigate
show me the closest location where i can get chinese food <eou> the closest chinese_restaurant is pf changs located 5_miles away <eou> ok please give me an address and directions via a route that avoids all heavy_traffic <eou> p.f._changs route set to 669_el_camino_real with only moderate_traffic noted <eou> thank you,you're welcome drive safely and enjoy,navigate
hi please set up a reminder for my dinner on the 11 th at 4 pm with my sister thanks,set have a good time,schedule
what time is dinner and who is it with,dinner is at 7 pm with jon,schedule
what time is dinner and who is it with <eou> dinner is at 7 pm with jon <eou> okay perfect thanks,you're welcome,schedule
schedule dentist appointment,when is your dentist appointment,schedule
schedule dentist appointment <eou> when is your dentist appointment <eou> it is on sunday at 2 pm,i have put on your calendar a dentist appointment on sunday at 2 pm,schedule
check forecast for new_york,the weather this week will be hail and rain on thursday and sunday with the lowest temperature being 20 f and the highest 90 f monday will be the only hot day,weather
check forecast for new_york <eou> the weather this week will be hail and rain on thursday and sunday with the lowest temperature being 20 f and the highest 90 f monday will be the only hot day <eou> will it be overcast on friday,on friday it will be cloudy on new_york,weather
check forecast for new_york <eou> the weather this week will be hail and rain on thursday and sunday with the lowest temperature being 20 f and the highest 90 f monday will be the only hot day <eou> will it be overcast on friday <eou> on friday it will be cloudy on new_york <eou> thank you,you're welcome,weather
will it be warm in camarillo over the next 2 days,no it's not gonna be warm in camarillo over the next 2 days,weather
will it be warm in camarillo over the next 2 days <eou> no it's not gonna be warm in camarillo over the next 2 days <eou> thank you car,you are very welcome,weather
what's the highest temperature for this week,what location do you want to know the highest temperature,weather
what's the highest temperature for this week <eou> what location do you want to know the highest temperature <eou> menlo_park please,on friday in menlo_park it will be a high of 100 f,weather
what's the highest temperature for this week <eou> what location do you want to know the highest temperature <eou> menlo_park please <eou> on friday in menlo_park it will be a high of 100 f <eou> excellent that's very helpful,you are very welcome,weather
will there be hail in mountain_view today,there will be clear skies today in mountain_view,weather
will there be hail in mountain_view today <eou> there will be clear skies today in mountain_view <eou> thanks,anytime,weather
will the weather be warm in menlo_park on sunday,the highest temperature on sunday is 30 f in menlo_park,weather
will the weather be warm in menlo_park on sunday <eou> the highest temperature on sunday is 30 f in menlo_park <eou> thanks,you are welcome,weather
what is the weather like today and tomorrow,what city would you like the 2 day forecast for,weather
what is the weather like today and tomorrow <eou> what city would you like the 2 day forecast for <eou> i need to know if there is a blizzard in redwood_city today,there is no blizzard in redwood_city today,weather
what is the weather like today and tomorrow <eou> what city would you like the 2 day forecast for <eou> i need to know if there is a blizzard in redwood_city today <eou> there is no blizzard in redwood_city today <eou> thanks,you are welcome,weather
get me directions to the nearest shopping mall,the nearest shopping mall is stanford shopping_center it's located 3_miles away and there is no_traffic to reach it,navigate
get me directions to the nearest shopping mall <eou> the nearest shopping mall is stanford shopping_center it's located 3_miles away and there is no_traffic to reach it <eou> sounds great thanks,you're welcome,navigate
remind me that i have a meeting at work on the 12 th at 5 pm in conference room 100,okay setting a reminder for you work meeting on the 12 th at 5 pm in conference room 100,schedule
where are the nearest coffee shops,the nearby coffee shops are teavana which is 6_miles away and peets_coffee which is 3_miles away,navigate
where are the nearest coffee shops <eou> the nearby coffee shops are teavana which is 6_miles away and peets_coffee which is 3_miles away <eou> please give me an address and directions to the peets_coffee and take the fastest route available,peets_coffee is located at 9981_archuleta_ave but a car collision is nearby on the route i will try to find the quickest route possible,navigate
where are the nearest coffee shops <eou> the nearby coffee shops are teavana which is 6_miles away and peets_coffee which is 3_miles away <eou> please give me an address and directions to the peets_coffee and take the fastest route available <eou> peets_coffee is located at 9981_archuleta_ave but a car collision is nearby on the route i will try to find the quickest route possible <eou> thanks for all the help,you're welcome,navigate
what is the date of football and who is coming,you have four football activities scheduled one on the 5 th with john on the 10 th with marie one on the 16 th with alex and one on monday with father,schedule
what is the date of football and who is coming <eou> you have four football activities scheduled one on the 5 th with john on the 10 th with marie one on the 16 th with alex and one on monday with father <eou> thanks,have a great day,schedule
will it be stormy in redwood_city on wednesday,no wednesday it will be hot in redwood_city,weather
will it be stormy in redwood_city on wednesday <eou> no wednesday it will be hot in redwood_city <eou> thank you,anytime,weather
is it going to snow today,what city should i check for you,weather
is it going to snow today <eou> what city should i check for you <eou> san_mateo please,today is gonna be windy in san_mateo with expected low temperature of 40 f and high of 50 f,weather
is it going to snow today <eou> what city should i check for you <eou> san_mateo please <eou> today is gonna be windy in san_mateo with expected low temperature of 40 f and high of 50 f <eou> thanks so much,you're welcome glad i could be of assistance,weather
what day and time is my yoga class,your yoga_activity is on the 3 rd at 10 am,schedule
what day and time is my yoga class <eou> your yoga_activity is on the 3 rd at 10 am <eou> thank you kindly,you are welcome,schedule
is the weather cloudy right now,what location do you want the weather for,weather
is the weather cloudy right now <eou> what location do you want the weather for <eou> alameda,it is not cloudy in alameda right now,weather
is the weather cloudy right now <eou> what location do you want the weather for <eou> alameda <eou> it is not cloudy in alameda right now <eou> thanks,you're welcome have a great day,weather
will the weather be hail in alhambra during the next seven days,there shouldn't be any hail during the next seven days in alhambra,weather
will the weather be hail in alhambra during the next seven days <eou> there shouldn't be any hail during the next seven days in alhambra <eou> thank you,you're welcome,weather
schedule a yoga activity with tom on the 8 th at 2 pm,okay scheduling a yoga activity with tom for the 8 th at 2 pm,schedule
schedule a yoga activity with tom on the 8 th at 2 pm <eou> okay scheduling a yoga activity with tom for the 8 th at 2 pm <eou> thanks,my pleasure,schedule
i need to find the shortest route to the hospital,sorry it appears the nearest hospital is 8_miles away palo_alto_medical_foundation is located at 611_ames_ave with heavy_traffic noted,navigate
i need to find the shortest route to the hospital <eou> sorry it appears the nearest hospital is 8_miles away palo_alto_medical_foundation is located at 611_ames_ave with heavy_traffic noted <eou> can you send me the directions,palo_alto_medical_foundation is located at 611_ames_ave,navigate
i need to find the shortest route to the hospital <eou> sorry it appears the nearest hospital is 8_miles away palo_alto_medical_foundation is located at 611_ames_ave with heavy_traffic noted <eou> can you send me the directions <eou> palo_alto_medical_foundation is located at 611_ames_ave <eou> thank you car please pick the route with the shortest distance to reach there,i sent the route on your map you're welcome,navigate
give me the closest fast food restaurant,i do not have a listing for any fast food places but i do have a pizza_restaurant that is 3_miles away would you like more info on it,navigate
give me the closest fast food restaurant <eou> i do not have a listing for any fast food places but i do have a pizza_restaurant that is 3_miles away would you like more info on it <eou> sure find the fastest route to a pizza place that is within 3_miles of me,pizza_hut is 3_miles away would you like the address,navigate
give me the closest fast food restaurant <eou> i do not have a listing for any fast food places but i do have a pizza_restaurant that is 3_miles away would you like more info on it <eou> sure find the fastest route to a pizza place that is within 3_miles of me <eou> pizza_hut is 3_miles away would you like the address <eou> yes please,704_el_camino_real i've already set the navigator to go there,navigate
give me the closest fast food restaurant <eou> i do not have a listing for any fast food places but i do have a pizza_restaurant that is 3_miles away would you like more info on it <eou> sure find the fastest route to a pizza place that is within 3_miles of me <eou> pizza_hut is 3_miles away would you like the address <eou> yes please <eou> 704_el_camino_real i've already set the navigator to go there <eou> thank you car,you're welcome,navigate
what is the date of my nextt dentist_appointment and who will be attending it,your next dentist_appointment is on the 2 nd with sister,schedule
what is the date of my nextt dentist_appointment and who will be attending it <eou> your next dentist_appointment is on the 2 nd with sister <eou> thank you,you're welcome,schedule
is it going to rain at all this upcoming week,what city shall i check for rain,weather
is it going to rain at all this upcoming week <eou> what city shall i check for rain <eou> redwood_city,chance of rain on saturday in redwood_city,weather
is it going to rain at all this upcoming week <eou> what city shall i check for rain <eou> redwood_city <eou> chance of rain on saturday in redwood_city <eou> okay thank you,no problem,weather
is there a nearby rest_stop,hotel_keen and the_westin are both nearby,navigate
is there a nearby rest_stop <eou> hotel_keen and the_westin are both nearby <eou> which has the least amount of traffic at the moment,they both have none,navigate
is there a nearby rest_stop <eou> hotel_keen and the_westin are both nearby <eou> which has the least amount of traffic at the moment <eou> they both have none <eou> what is the address for keen,578_arbol_dr we're 2_miles away from it set the navigation there,navigate
is there a nearby rest_stop <eou> hotel_keen and the_westin are both nearby <eou> which has the least amount of traffic at the moment <eou> they both have none <eou> what is the address for keen <eou> 578_arbol_dr we're 2_miles away from it set the navigation there <eou> yes sounds great,alright,navigate
give me the address of the nearest shopping_center to me with the fastest route to it,stanford shopping_center is 2_miles away at 773_alger_dr,navigate
give me the address of the nearest shopping_center to me with the fastest route to it <eou> stanford shopping_center is 2_miles away at 773_alger_dr <eou> is there any traffic,there is moderate_traffic on the way to stanford shopping_center,navigate
give me the address of the nearest shopping_center to me with the fastest route to it <eou> stanford shopping_center is 2_miles away at 773_alger_dr <eou> is there any traffic <eou> there is moderate_traffic on the way to stanford shopping_center <eou> then pick the fastest route and let's go there thank you car,i sent on your screen the fastest route to the shopping_center and you're welcome,navigate
what is the weather like today in tomorrow,what city are you inquiring about,weather
what is the weather like today in tomorrow <eou> what city are you inquiring about <eou> will it be cloudy in compton today,compton is not showing a forecast for cloudy skies today,weather
what is the weather like today in tomorrow <eou> what city are you inquiring about <eou> will it be cloudy in compton today <eou> compton is not showing a forecast for cloudy skies today <eou> ok,you are welcome,weather
tell me the time of today's meeting,the meeting is at 7_pm,schedule
tell me the time of today's meeting <eou> the meeting is at 7_pm <eou> perfect,anything else,schedule
find me a gas_station that i can get to the quickest without any traffic,the nearest gas_station is located at 91_el_camino_real but there is a roadblock nearby,navigate
