,relation,subject,object
0,address,dish_parking,dish_parking_address
1,traffic_info,dish_parking,dish_parking_traffic_info
2,distance,dish_parking,dish_parking_distance
3,address,stanford_oval_parking,stanford_oval_parking_address
4,traffic_info,stanford_oval_parking,stanford_oval_parking_traffic_info
5,distance,stanford_oval_parking,stanford_oval_parking_distance
6,address,willows_market,willows_market_address
7,traffic_info,willows_market,willows_market_traffic_info
8,distance,willows_market,willows_market_distance
9,address,the_westin,the_westin_address
10,traffic_info,the_westin,the_westin_traffic_info
11,distance,the_westin,the_westin_distance
12,address,toms_house,toms_house_address
13,traffic_info,toms_house,toms_house_traffic_info
14,distance,toms_house,toms_house_distance
15,address,pizza_chicago,pizza_chicago_address
16,traffic_info,pizza_chicago,pizza_chicago_traffic_info
17,distance,pizza_chicago,pizza_chicago_distance
18,address,valero,valero_address
19,traffic_info,valero,valero_traffic_info
20,distance,valero,valero_distance
21,address,mandarin_roots,mandarin_roots_address
22,traffic_info,mandarin_roots,mandarin_roots_traffic_info
23,distance,mandarin_roots,mandarin_roots_distance
24,address,town_and_country,town_and_country_address
25,traffic_info,town_and_country,town_and_country_traffic_info
26,distance,town_and_country,town_and_country_distance
27,address,76,76_address
28,traffic_info,76,76_traffic_info
29,distance,76,76_distance
30,address,stanford_shopping_center,stanford_shopping_center_address
31,traffic_info,stanford_shopping_center,stanford_shopping_center_traffic_info
32,distance,stanford_shopping_center,stanford_shopping_center_distance
33,address,teavana,teavana_address
34,traffic_info,teavana,teavana_traffic_info
35,distance,teavana,teavana_distance
36,address,dominos,dominos_address
37,traffic_info,dominos,dominos_traffic_info
38,distance,dominos,dominos_distance
39,address,palo_alto_garage_r,palo_alto_garage_r_address
40,traffic_info,palo_alto_garage_r,palo_alto_garage_r_traffic_info
41,distance,palo_alto_garage_r,palo_alto_garage_r_distance
42,address,stanford_express_care,stanford_express_care_address
43,traffic_info,stanford_express_care,stanford_express_care_traffic_info
44,distance,stanford_express_care,stanford_express_care_distance
45,address,palo_alto_medical_foundation,palo_alto_medical_foundation_address
46,traffic_info,palo_alto_medical_foundation,palo_alto_medical_foundation_traffic_info
47,distance,palo_alto_medical_foundation,palo_alto_medical_foundation_distance
48,address,p.f._changs,p.f._changs_address
49,traffic_info,p.f._changs,p.f._changs_traffic_info
50,distance,p.f._changs,p.f._changs_distance
51,address,ravenswood_shopping_center,ravenswood_shopping_center_address
52,traffic_info,ravenswood_shopping_center,ravenswood_shopping_center_traffic_info
53,distance,ravenswood_shopping_center,ravenswood_shopping_center_distance
54,address,chef_chu's,chef_chu's_address
55,traffic_info,chef_chu's,chef_chu's_traffic_info
56,distance,chef_chu's,chef_chu's_distance
63,address,home,home_address
64,traffic_info,home,home_traffic_info
65,distance,home,home_distance
66,address,philz,philz_address
67,traffic_info,philz,philz_traffic_info
68,distance,philz,philz_distance
72,time,dentist_appointment,dentist_appointment_time
73,room,dentist_appointment,dentist_appointment_room
74,party,dentist_appointment,dentist_appointment_party
75,agenda,dentist_appointment,dentist_appointment_agenda
76,date,dentist_appointment,dentist_appointment_date
77,time,taking_medicine,taking_medicine_time
78,room,taking_medicine,taking_medicine_room
79,party,taking_medicine,taking_medicine_party
80,agenda,taking_medicine,taking_medicine_agenda
81,date,taking_medicine,taking_medicine_date
82,time,football_activity,football_activity_time
83,room,football_activity,football_activity_room
84,party,football_activity,football_activity_party
85,agenda,football_activity,football_activity_agenda
86,date,football_activity,football_activity_date
87,time,yoga_activity,yoga_activity_time
88,room,yoga_activity,yoga_activity_room
89,party,yoga_activity,yoga_activity_party
90,agenda,yoga_activity,yoga_activity_agenda
91,date,yoga_activity,yoga_activity_date
92,time,lab_appointment,lab_appointment_time
93,room,lab_appointment,lab_appointment_room
94,party,lab_appointment,lab_appointment_party
95,agenda,lab_appointment,lab_appointment_agenda
96,date,lab_appointment,lab_appointment_date
97,time,dinner,dinner_time
98,room,dinner,dinner_room
99,party,dinner,dinner_party
100,agenda,dinner,dinner_agenda
101,date,dinner,dinner_date
102,monday,manhattan,manhattan_monday
103,tuesday,manhattan,manhattan_tuesday
104,wednesday,manhattan,manhattan_wednesday
105,thursday,manhattan,manhattan_thursday
106,friday,manhattan,manhattan_friday
107,saturday,manhattan,manhattan_saturday
108,sunday,manhattan,manhattan_sunday
109,monday,camarillo,camarillo_monday
110,tuesday,camarillo,camarillo_tuesday
111,wednesday,camarillo,camarillo_wednesday
112,thursday,camarillo,camarillo_thursday
113,friday,camarillo,camarillo_friday
114,saturday,camarillo,camarillo_saturday
115,sunday,camarillo,camarillo_sunday
116,monday,menlo_park,menlo_park_monday
117,tuesday,menlo_park,menlo_park_tuesday
118,wednesday,menlo_park,menlo_park_wednesday
119,thursday,menlo_park,menlo_park_thursday
120,friday,menlo_park,menlo_park_friday
121,saturday,menlo_park,menlo_park_saturday
122,sunday,menlo_park,menlo_park_sunday
123,monday,new_york,new_york_monday
124,tuesday,new_york,new_york_tuesday
125,wednesday,new_york,new_york_wednesday
126,thursday,new_york,new_york_thursday
127,friday,new_york,new_york_friday
128,saturday,new_york,new_york_saturday
129,sunday,new_york,new_york_sunday
130,monday,corona,corona_monday
131,tuesday,corona,corona_tuesday
132,wednesday,corona,corona_wednesday
133,thursday,corona,corona_thursday
134,friday,corona,corona_friday
135,saturday,corona,corona_saturday
136,sunday,corona,corona_sunday
137,monday,seattle,seattle_monday
138,tuesday,seattle,seattle_tuesday
139,wednesday,seattle,seattle_wednesday
140,thursday,seattle,seattle_thursday
141,friday,seattle,seattle_friday
142,saturday,seattle,seattle_saturday
143,sunday,seattle,seattle_sunday
144,monday,grand_rapids,grand_rapids_monday
145,tuesday,grand_rapids,grand_rapids_tuesday
146,wednesday,grand_rapids,grand_rapids_wednesday
147,thursday,grand_rapids,grand_rapids_thursday
148,friday,grand_rapids,grand_rapids_friday
149,saturday,grand_rapids,grand_rapids_saturday
150,sunday,grand_rapids,grand_rapids_sunday
151,monday,danville,danville_monday
152,tuesday,danville,danville_tuesday
153,wednesday,danville,danville_wednesday
154,thursday,danville,danville_thursday
155,friday,danville,danville_friday
156,saturday,danville,danville_saturday
157,sunday,danville,danville_sunday
165,monday,san_jose,san_jose_monday
166,tuesday,san_jose,san_jose_tuesday
167,wednesday,san_jose,san_jose_wednesday
168,thursday,san_jose,san_jose_thursday
169,friday,san_jose,san_jose_friday
170,saturday,san_jose,san_jose_saturday
171,sunday,san_jose,san_jose_sunday
172,monday,los_angeles,los_angeles_monday
173,tuesday,los_angeles,los_angeles_tuesday
174,wednesday,los_angeles,los_angeles_wednesday
175,thursday,los_angeles,los_angeles_thursday
176,friday,los_angeles,los_angeles_friday
177,saturday,los_angeles,los_angeles_saturday
178,sunday,los_angeles,los_angeles_sunday
179,monday,durham,durham_monday
180,tuesday,durham,durham_tuesday
181,wednesday,durham,durham_wednesday
182,thursday,durham,durham_thursday
183,friday,durham,durham_friday
184,saturday,durham,durham_saturday
185,sunday,durham,durham_sunday
186,monday,san_francisco,san_francisco_monday
187,tuesday,san_francisco,san_francisco_tuesday
188,wednesday,san_francisco,san_francisco_wednesday
189,thursday,san_francisco,san_francisco_thursday
190,friday,san_francisco,san_francisco_friday
191,saturday,san_francisco,san_francisco_saturday
192,sunday,san_francisco,san_francisco_sunday
193,monday,boston,boston_monday
194,tuesday,boston,boston_tuesday
195,wednesday,boston,boston_wednesday
196,thursday,boston,boston_thursday
197,friday,boston,boston_friday
198,saturday,boston,boston_saturday
199,sunday,boston,boston_sunday
200,monday,cleveland,cleveland_monday
201,tuesday,cleveland,cleveland_tuesday
202,wednesday,cleveland,cleveland_wednesday
203,thursday,cleveland,cleveland_thursday
204,friday,cleveland,cleveland_friday
205,saturday,cleveland,cleveland_saturday
206,sunday,cleveland,cleveland_sunday
214,monday,brentwood,brentwood_monday
215,tuesday,brentwood,brentwood_tuesday
216,wednesday,brentwood,brentwood_wednesday
217,thursday,brentwood,brentwood_thursday
218,friday,brentwood,brentwood_friday
219,saturday,brentwood,brentwood_saturday
220,sunday,brentwood,brentwood_sunday
221,monday,inglewood,inglewood_monday
222,tuesday,inglewood,inglewood_tuesday
223,wednesday,inglewood,inglewood_wednesday
224,thursday,inglewood,inglewood_thursday
225,friday,inglewood,inglewood_friday
226,saturday,inglewood,inglewood_saturday
227,sunday,inglewood,inglewood_sunday
228,monday,mountain_view,mountain_view_monday
229,tuesday,mountain_view,mountain_view_tuesday
230,wednesday,mountain_view,mountain_view_wednesday
231,thursday,mountain_view,mountain_view_thursday
232,friday,mountain_view,mountain_view_friday
233,saturday,mountain_view,mountain_view_saturday
234,sunday,mountain_view,mountain_view_sunday
242,monday,compton,compton_monday
243,tuesday,compton,compton_tuesday
244,wednesday,compton,compton_wednesday
245,thursday,compton,compton_thursday
246,friday,compton,compton_friday
247,saturday,compton,compton_saturday
248,sunday,compton,compton_sunday
284,monday,oakland,oakland_monday
285,tuesday,oakland,oakland_tuesday
286,wednesday,oakland,oakland_wednesday
287,thursday,oakland,oakland_thursday
288,friday,oakland,oakland_friday
289,saturday,oakland,oakland_saturday
290,sunday,oakland,oakland_sunday
305,monday,san_mateo,san_mateo_monday
306,tuesday,san_mateo,san_mateo_tuesday
307,wednesday,san_mateo,san_mateo_wednesday
308,thursday,san_mateo,san_mateo_thursday
309,friday,san_mateo,san_mateo_friday
310,saturday,san_mateo,san_mateo_saturday
311,sunday,san_mateo,san_mateo_sunday
326,monday,alhambra,alhambra_monday
327,tuesday,alhambra,alhambra_tuesday
328,wednesday,alhambra,alhambra_wednesday
329,thursday,alhambra,alhambra_thursday
330,friday,alhambra,alhambra_friday
331,saturday,alhambra,alhambra_saturday
332,sunday,alhambra,alhambra_sunday
333,monday,atherton,atherton_monday
334,tuesday,atherton,atherton_tuesday
335,wednesday,atherton,atherton_wednesday
336,thursday,atherton,atherton_thursday
337,friday,atherton,atherton_friday
338,saturday,atherton,atherton_saturday
339,sunday,atherton,atherton_sunday
347,monday,redwood_city,redwood_city_monday
348,tuesday,redwood_city,redwood_city_tuesday
349,wednesday,redwood_city,redwood_city_wednesday
350,thursday,redwood_city,redwood_city_thursday
351,friday,redwood_city,redwood_city_friday
352,saturday,redwood_city,redwood_city_saturday
353,sunday,redwood_city,redwood_city_sunday
389,monday,exeter,exeter_monday
390,tuesday,exeter,exeter_tuesday
391,wednesday,exeter,exeter_wednesday
392,thursday,exeter,exeter_thursday
393,friday,exeter,exeter_friday
394,saturday,exeter,exeter_saturday
395,sunday,exeter,exeter_sunday
399,address,starbucks,starbucks_address
400,traffic_info,starbucks,starbucks_traffic_info
401,distance,starbucks,starbucks_distance
405,address,5677_springer_street,5677_springer_street_address
406,traffic_info,5677_springer_street,5677_springer_street_traffic_info
407,distance,5677_springer_street,5677_springer_street_distance
408,address,safeway,safeway_address
409,traffic_info,safeway,safeway_traffic_info
410,distance,safeway,safeway_distance
414,address,hotel_keen,hotel_keen_address
415,traffic_info,hotel_keen,hotel_keen_traffic_info
416,distance,hotel_keen,hotel_keen_distance
420,address,papa_johns,papa_johns_address
421,traffic_info,papa_johns,papa_johns_traffic_info
422,distance,papa_johns,papa_johns_distance
423,address,jing_jing,jing_jing_address
424,traffic_info,jing_jing,jing_jing_traffic_info
425,distance,jing_jing,jing_jing_distance
426,address,whole_foods,whole_foods_address
427,traffic_info,whole_foods,whole_foods_traffic_info
428,distance,whole_foods,whole_foods_distance
